city,state,avg_price,property_count,latitude,longitude
,Arizona,689816.6666666666,3,,
Aguila,Arizona,606790.0,10,33.9382885,-113.1675192
Ajo,Arizona,138333.33333333334,3,32.402344,-112.8858025
Alpine,Arizona,547100.0,12,33.8449987,-109.145002
Amado,Arizona,1153368.75,8,31.685279,-111.0621284
Anthem,Arizona,625732.8372093023,129,33.8538898,-112.1132905
Apache Junction,Arizona,371075.2508038585,311,33.4150485,-111.549577
Arivaca,Arizona,571590.0,10,31.5769832,-111.3306751
Arizona City,Arizona,271662.6583333333,240,32.7484,-111.6759051
Arlington,Arizona,336225.0,4,33.3355685,-112.7743821
Ash Fork,Arizona,265587.7555555556,45,35.216333,-112.4913858
Avondale,Arizona,442235.93175074185,337,33.4355977,-112.349602
Bellemont,Arizona,495843.25,20,35.2373443,-111.820629
Benson,Arizona,276487.04545454547,66,31.9678611,-110.294517
Bisbee,Arizona,326893.75,36,31.4417165,-109.9159946
Black Canyon City,Arizona,350100.0,23,34.0729683,-112.1265655
Blue,Arizona,3500000.0,1,33.6100552,-109.1067396
Bouse,Arizona,166913.63636363635,22,33.9076636,-113.9852577
Bowie,Arizona,95000.0,1,32.3262613,-109.4870141
Brenda,Arizona,150000.0,1,33.6796243,-113.9445832
Buckeye,Arizona,482862.5262281432,1201,33.3703197,-112.583776
Bullhead,Arizona,119900.0,1,35.9027632,-114.0572295
Bullhead City,Arizona,309882.6322418136,794,35.1449998,-114.5627804
Camp Verde,Arizona,423437.2881355932,59,34.5636358,-111.854317
Carefree,Arizona,1387406.4347826086,46,33.8222377,-111.918166
Casa Grande,Arizona,363318.2449760765,1045,32.8772834,-111.7536818
Catalina,Arizona,499900.0,1,32.4821843,-110.9001941
Cave Creek,Arizona,1153441.4017857143,224,33.8333333,-111.950833
Chandler,Arizona,581803.1002190581,1826,33.3062031,-111.841185
Chino Valley,Arizona,453401.6496815287,157,34.7575227,-112.45378
Chloride,Arizona,417450.0,2,35.4144379,-114.1994
Clarkdale,Arizona,523624.6875,32,34.7711319,-112.057936
Claypool,Arizona,310000.0,1,33.4064295,-110.8430678
Clifton,Arizona,185000.0,2,33.0508966,-109.296182
Cochise,Arizona,448237.4375,16,31.8514532,-109.8181858
Colorado City,Arizona,537000.0,2,36.9899107,-112.9765425
Concho,Arizona,327190.0,10,34.4753132,-109.6059405
Congress,Arizona,389110.74074074073,27,34.1538485,-112.8549191
Coolidge,Arizona,317158.3548387097,403,32.977839,-111.517624
Cordes Lakes,Arizona,344950.0,2,34.3089575,-112.1086068
Cornville,Arizona,648965.3636363636,44,34.7395165,-111.9058276
Corona de Tucson,Arizona,430592.6666666667,15,31.9557768,-110.7726863
Cottonwood,Arizona,394575.22857142857,105,34.7475612,-112.0272397
Crown King,Arizona,337700.0,11,34.2055857,-112.3384991
Desert Hills,Arizona,1175000.0,2,34.5546255,-114.3747908
Dewey,Arizona,494542.5714285714,7,34.5297551,-112.2421149
Dewey Humboldt,Arizona,480610.8440366973,109,34.5032243,-112.2425051
Dolan Springs,Arizona,163213.15789473685,38,35.598157,-114.2755572
Double Adobe,Arizona,399000.0,1,31.4667657,-109.6900706
Douglas,Arizona,214304.6511627907,43,31.3447174,-109.5545036
Dragoon,Arizona,275000.0,1,32.0281367,-110.0386795
Dudleyville,Arizona,119000.0,2,32.9087035,-110.7220611
Duncan,Arizona,143225.0,4,32.7153252,-109.100618
Eagar,Arizona,910600.0,13,34.1111581,-109.291475
Ehrenberg,Arizona,174900.0,2,33.616227,-114.4789165
El Mirage,Arizona,389085.4142011834,169,33.6130338,-112.324486
Elfrida,Arizona,260688.88888888888,9,31.6853714,-109.6870138
Elgin,Arizona,938857.1428571428,14,31.650702,-110.4901427
Eloy,Arizona,303742.188172043,186,32.7551703,-111.553493
Flagstaff,Arizona,783828.1082352941,425,35.1987522,-111.651822
Florence,Arizona,376180.3296703297,455,33.0314508,-111.387343
Forest Lakes,Arizona,577855.0,10,34.3412639,-110.8023818
Fort McDowell,Arizona,1157000.0,4,33.6367105,-111.6745826
Fort Mohave,Arizona,336089.43410852714,258,35.0175869,-114.5978815
Fort Thomas,Arizona,484633.3333333333,3,33.0370042,-109.9653612
Fountain Hills,Arizona,864280.4225352113,355,33.6117105,-111.717361
Fredonia,Arizona,380000.0,3,36.949932,-112.5253435
Gila Bend,Arizona,216000.0,3,32.9476184,-112.7144993
Gilbert,Arizona,666903.6503649635,1370,33.3527632,-111.789037
Glendale,Arizona,473009.2794985251,1356,33.5386858,-112.185994
Globe,Arizona,314740.8,60,33.3959139,-110.7871744
Gold Canyon,Arizona,845597.8647058824,170,33.3528078,-111.4570813
Golden Valley,Arizona,227543.1009174312,109,35.2233329,-114.223013
Goodyear,Arizona,537494.3731843575,895,33.4672279,-112.3853489
Green Valley,Arizona,320056.0776583035,837,31.8484548,-111.0265945
Greenehaven,Arizona,474666.6666666667,3,36.9961092,-111.5562701
Greer,Arizona,1191890.0,10,34.0100477,-109.4587014
Guadalupe,Arizona,199950.0,2,33.3631249,-111.9625328
Hackberry,Arizona,165000.0,1,35.3691614,-113.727164
Happy Jack,Arizona,787477.7058823529,17,34.7428521,-111.4093051
Hayden,Arizona,80000.0,1,33.0047879,-110.7853836
Heber,Arizona,593716.6666666666,12,34.431205,-110.593925
Hereford,Arizona,351299.597826087,92,31.4384325,-110.0978554
Holbrook,Arizona,299880.0,10,34.9037105,-110.1593261
Huachuca City,Arizona,216790.625,32,31.6278703,-110.333967
Humboldt,Arizona,339000.0,2,34.5009866,-112.2392022
Jerome,Arizona,515900.0,5,34.7489107,-112.1137716
Joseph City,Arizona,204560.0,5,34.9558585,-110.3339982
Kearny,Arizona,143141.66666666666,12,33.0570085,-110.910665
Kingman,Arizona,306925.58648111334,503,35.1895921,-114.0532996
Kirkland,Arizona,926928.5714285716,14,34.4175251,-112.7121218
Kohls Ranch,Arizona,549000.0,1,34.3234474,-111.0937564
