city,avg_price_per_sqft,avg_bedrooms,avg_bathrooms
,368.75129907539963,2.6666666666666665,2.3333333333333335
Aguila,479.2438299775821,2.3,2.0
Ajo,176.18881772955243,2.0,1.3333333333333333
Alpine,289.19928470238415,2.8333333333333335,2.25
Amado,289.84483994142266,3.25,3.375
Anthem,280.9825553248767,3.4031007751937983,2.6666666666666665
Apache Junction,254.26468527716014,2.7009646302250805,1.9614147909967845
Arivaca,198.1680962983845,3.0,3.0
Arizona City,196.97038396906675,3.254166666666667,2.0541666666666667
Arlington,211.99372056514915,3.25,2.0
Ash Fork,201.256770692229,2.6444444444444444,1.7777777777777777
Avondale,235.85372906714784,3.540059347181009,2.406528189910979
Bellemont,274.7077261389444,3.45,2.8
Benson,149.64196129133646,3.121212121212121,2.196969696969697
Bisbee,179.06915668875365,3.0,1.9444444444444444
Black Canyon City,223.40342792466245,2.608695652173913,1.9565217391304348
Blue,875.0,6.0,8.0
Bouse,161.7212611643465,2.090909090909091,1.7272727272727273
Bowie,68.4931506849315,3.0,1.0
Brenda,92.36453201970444,3.0,2.0
Buckeye,238.88586013931146,3.4737718567860116,2.4945878434637803
Bullhead,141.05882352941177,2.0,1.0
Bullhead City,199.08407174715313,2.6347607052896724,2.1750629722921913
Camp Verde,233.14857465242093,2.9491525423728815,2.2203389830508473
Carefree,431.40221935280636,2.9565217391304346,3.4347826086956523
Casa Grande,201.83106387221596,3.3751196172248803,2.2641148325358853
Catalina,235.8018867924528,3.0,2.0
Cave Creek,391.3562224744679,3.6830357142857144,3.169642857142857
Chandler,296.5725551471947,3.2738225629791895,2.5136911281489596
Chino Valley,251.1137583446486,3.1082802547770703,2.254777070063694
Chloride,115.19145332115716,2.5,2.5
Clarkdale,244.58736582520106,3.0,2.5
Claypool,224.47501810282404,3.0,2.0
Clifton,85.17267094115657,4.0,2.5
Cochise,245.71195611245025,3.0625,2.25
Colorado City,158.12961000093745,6.5,5.0
Concho,192.22294126307196,2.6,1.9
Congress,230.5491949856322,2.259259259259259,1.962962962962963
Coolidge,189.11769747413956,3.595533498759305,2.260545905707196
Cordes Lakes,236.2493191135575,2.5,2.5
Cornville,311.6117704804195,2.8181818181818183,2.3863636363636362
Corona de Tucson,192.45992426404186,3.7333333333333334,2.6
Cottonwood,247.85619522466953,2.8095238095238093,2.1333333333333333
Crown King,282.8022096702667,2.6363636363636362,1.5454545454545454
Desert Hills,361.9270530017661,4.0,3.0
