city,price_category,property_count
,Budget,1
,Luxury,2
Aguila,Luxury,3
Aguila,Mid-Range,7
Ajo,Budget,3
Alpine,Budget,2
Alpine,Luxury,3
Alpine,Mid-Range,7
Amado,Budget,4
Amado,Luxury,3
Amado,Mid-Range,1
Anthem,Luxury,53
Anthem,Mid-Range,76
Apache Junction,Budget,114
Apache Junction,Luxury,39
Apache Junction,Mid-Range,158
Arivaca,Budget,4
Arivaca,Luxury,4
Arivaca,Mid-Range,2
Arizona City,Budget,167
Arizona City,Mid-Range,73
Arlington,Budget,2
Arlington,Mid-Range,2
Ash Fork,Budget,28
Ash Fork,Mid-Range,17
Avondale,Budget,17
Avondale,Luxury,18
Avondale,Mid-Range,302
Bellemont,Luxury,4
Bellemont,Mid-Range,16
Benson,Budget,47
Benson,Luxury,4
Benson,Mid-Range,15
Bisbee,Budget,27
Bisbee,Luxury,3
Bisbee,Mid-Range,6
Black Canyon City,Budget,12
Black Canyon City,Luxury,3
Black Canyon City,Mid-Range,8
Blue,Luxury,1
Bouse,Budget,20
Bouse,Mid-Range,2
Bowie,Budget,1
Brenda,Budget,1
Buckeye,Budget,33
Buckeye,Luxury,165
Buckeye,Mid-Range,1003
Bullhead,Budget,1
Bullhead City,Budget,458
Bullhead City,Luxury,25
Bullhead City,Mid-Range,311
Camp Verde,Budget,29
Camp Verde,Luxury,14
Camp Verde,Mid-Range,16
Carefree,Budget,3
Carefree,Luxury,36
Carefree,Mid-Range,7
Casa Grande,Budget,231
Casa Grande,Luxury,39
Casa Grande,Mid-Range,775
Catalina,Mid-Range,1
Cave Creek,Budget,1
Cave Creek,Luxury,177
Cave Creek,Mid-Range,46
Chandler,Budget,90
Chandler,Luxury,608
Chandler,Mid-Range,1128
Chino Valley,Budget,41
Chino Valley,Luxury,40
Chino Valley,Mid-Range,76
Chloride,Budget,1
Chloride,Luxury,1
Clarkdale,Budget,5
Clarkdale,Luxury,8
Clarkdale,Mid-Range,19
Claypool,Mid-Range,1
Clifton,Budget,2
Cochise,Budget,4
Cochise,Luxury,4
Cochise,Mid-Range,8
Colorado City,Mid-Range,2
Concho,Budget,6
Concho,Luxury,1
Concho,Mid-Range,3
Congress,Budget,14
Congress,Luxury,3
Congress,Mid-Range,10
Coolidge,Budget,189
Coolidge,Luxury,6
